Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
101,1261,109,Jul 31,TOR,@,BAL,L4-10,GS-8,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.313,.383,.695,1,.83,0.064,.09,0.00%,0.17,10.00,12.20,RF
102,1262,110,Aug 2,TOR,@,NYY,W8-5,GS-7,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.229,.312,.381,.693,1,.70,-0.069,.06,0.00%,-1.14,3.00,3.00,RF
103,1263,111,Aug 3,TOR,@,NYY,L3-8,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.227,.311,.377,.688,1,.55,-0.045,.04,0.00%,-0.96,4.00,6.20,DH
104,1264,112,Aug 4,TOR,@,NYY,L3-4,10-GF(10),1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.310,.376,.686,4,3.42,-0.092,.21,0.00%,-0.36,0.00,0.00,PH RF
105,1265,113,Aug 6,TOR,,BAL,W5-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.224,.307,.372,.680,1,.81,-0.082,.02,0.00%,-0.84,0.00,0.00,RF
106,1266,114,Aug 7,TOR,,BAL,L3-7,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.224,.306,.370,.676,1,1.18,-0.056,.05,0.00%,-1.11,3.00,3.00,RF
107,1267,115,Aug 8,TOR,,BAL,W7-6,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.223,.305,.368,.673,1,.46,0.031,.01,0.00%,0.21,5.00,6.20,DH
108,1268,116,Aug 9,TOR,,OAK,W3-1,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.224,.304,.374,.679,1,.78,0.046,.03,0.00%,0.46,14.00,18.70,RF
109,1269,117,Aug 10,TOR,,OAK,L0-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.221,.302,.371,.672,1,1.88,-0.230,.11,-0.01%,-1.45,0.00,0.00,DH
110,1270,118,Aug 11,TOR,,OAK,L4-8,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,.222,.301,.369,.671,1,.33,-0.007,.01,0.00%,0.15,7.00,10.00,RF
111,1271,120 (1),Aug 13,TOR,@,LAA,W6-1,GS-7,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.221,.301,.368,.669,1,.48,0.021,.02,0.00%,-0.02,4.00,6.20,RF
