visitor_ab,visitor_sac_hits,visitor_sac_flies,visitor_hbp,visitor_walks,visitor_int_walks,visitor_,home_ab,home_sac_hits,home_sac_flies,home_hbp,home_walks,home_int_walks,visitor_pa,home_pa
38,0,0,2,4,0,0,33,0,0,0,4,0,44,37
36,0,0,1,2,0,0,37,0,1,0,3,0,39,41
32,0,1,1,3,0,0,32,0,0,1,11,1,37,45
29,0,0,0,0,0,0,36,0,0,0,3,0,29,39
36,0,0,1,3,0,0,33,0,0,1,4,0,40,38
28,0,0,0,2,0,0,40,0,0,0,4,0,30,44
34,1,0,0,3,0,0,34,0,0,0,2,0,38,36
28,0,0,0,4,0,0,34,0,0,1,3,0,32,38
32,0,1,1,1,0,0,29,1,0,0,6,0,35,36
39,1,0,1,2,0,0,29,0,0,0,2,0,43,31
28,0,0,0,2,0,0,28,0,0,2,2,0,30,32
30,0,0,0,1,0,0,31,0,0,0,1,0,31,32
34,0,0,0,0,0,0,28,1,1,0,3,0,34,33
35,0,0,1,5,0,0,29,0,0,0,2,0,41,31
30,0,0,1,0,0,0,28,0,1,0,4,0,31,33
37,0,0,2,8,1,0,34,0,0,0,4,0,48,38
31,1,0,1,7,0,0,30,0,0,1,4,0,40,35
32,0,0,0,6,0,0,35,0,0,1,0,0,38,36
40,0,0,0,1,0,0,35,0,0,0,0,0,41,35
38,0,0,0,5,0,0,32,0,0,1,5,0,43,38
34,0,0,0,1,0,0,31,0,0,1,1,0,35,33
35,0,1,0,2,0,0,31,0,0,0,1,0,38,32
34,0,0,0,4,0,0,29,1,1,1,0,0,38,32
35,0,0,0,1,0,0,31,0,1,1,3,0,36,36
38,0,0,3,2,0,0,39,0,0,0,0,0,43,39
29,0,0,0,4,0,0,30,0,0,0,3,0,33,33
31,1,0,0,7,0,0,29,0,0,0,2,0,39,31
36,1,1,0,4,1,0,32,0,0,1,4,0,43,37
39,1,1,2,5,0,0,37,0,0,0,4,0,48,41
